Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;18.857512712478638;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;15.72900652885437;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;17.038896083831787;
10-sonata_iii_moderato;152;152;6\8;4\4;24.31093716621399;
19-sonata_v_allegro;140;140;6\8;4\4;18.724308013916016;
6-click_full_pussy;160;160;5\4;4\4;16.799715042114258;
120;120;120;5\4;4\4;13.435771465301514;
1-blue-tinted_sunglasses;123;123;4\4;4\4;13.635107278823853;
7-don't_look_back;89;89;6\8;4\4;16.016270875930786;
1-sunset_(endless_night_journey;140;140;4\4;4\4;14.927846193313599;
8-i'll_pretend;140;140;5\4;4\4;15.335756301879883;
7-northern_lights;140;140;6\8;4\4;15.476601362228394;
10-at_least_you've_been_told;130;130;6\8;4\4;15.397820711135864;
9-nibtal_7;140;140;6\8;4\4;15.65483808517456;
100;100;100;5\4;3\4;17.31880283355713;
1-don't_rain_on_my_parade;160;160;6\8;4\4;15.51747751235962;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;19.995492219924927;
5-apartment_a;115;115;4\4;4\4;17.46184515953064;
12-rotgut;147;147;6\8;4\4;16.55359721183777;
4-buffalo_nights;147;147;6\8;8\8;17.297356843948364;
6-didn't_i;85;85;6\8;4\4;19.73447871208191;
4-patterns;106;106;6\8;6\8;17.442110776901245;
1-prospects;116;116;6\8;4\4;28.516704082489014;
18-slide_boogie;120;120;6\8;4\4;20.002825260162354;
6-invisible_pants;118;118;6\8;4\4;22.848422527313232;
7-heavenly_rain;126;126;6\8;4\4;18.451302766799927;
1-by_mourning;202;202;6\8;4\4;15.62541675567627;
5-kc_rip_off;140;140;6\8;4\4;18.438522338867188;
5-code_red_love_is_dead;120;120;5\4;4\4;18.540277004241943;
7-serenade_for_samantha;120;120;6\8;4\4;17.995599269866943;
1-sweet_dissonance;120;120;6\8;4\4;20.095289707183838;
6-life_glides;120;120;6\8;4\4;18.550081968307495;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;24.482017755508423;
5-bliss;68;68;6\8;4\4;36.59034848213196;
10-the_last_faery;90;90;5\4;4\4;23.31501054763794;
1-odysseia;93;93;6\8;4\4;23.392614603042603;
