Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;11.990988492965698;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;9.305639743804932;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;8.125072240829468;
10-sonata_iii_moderato;152;152;6\8;4\4;9.94962739944458;
19-sonata_v_allegro;140;140;6\8;4\4;12.111771583557129;
6-click_full_pussy;160;160;4\4;4\4;8.934277057647705;
120;120;120;6\8;4\4;7.718719005584717;
1-blue-tinted_sunglasses;123;123;4\4;4\4;8.760793924331665;
7-don't_look_back;89;89;6\8;4\4;7.6866326332092285;
1-sunset_(endless_night_journey;140;140;6\8;4\4;8.402894020080566;
8-i'll_pretend;140;140;6\8;4\4;8.798108577728271;
7-northern_lights;140;140;6\8;4\4;12.321401834487915;
10-at_least_you've_been_told;130;130;6\8;4\4;8.39089059829712;
9-nibtal_7;140;140;6\8;4\4;8.018123865127563;
100;100;100;6\8;3\4;8.308305501937866;
1-don't_rain_on_my_parade;160;160;6\8;4\4;8.786065578460693;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;9.171968460083008;
5-apartment_a;115;115;4\4;4\4;9.968563556671143;
12-rotgut;147;147;6\8;4\4;8.450044870376587;
4-buffalo_nights;147;147;6\8;8\8;7.8507585525512695;
6-didn't_i;85;85;4\4;4\4;10.113382339477539;
4-patterns;106;106;6\8;6\8;9.653609991073608;
1-prospects;116;116;6\8;4\4;13.058438062667847;
18-slide_boogie;120;120;6\8;4\4;9.429322481155396;
6-invisible_pants;118;118;6\8;4\4;12.028677225112915;
7-heavenly_rain;126;126;6\8;4\4;8.399491310119629;
1-by_mourning;202;202;6\8;4\4;8.502890348434448;
5-kc_rip_off;140;140;6\8;4\4;9.756965160369873;
5-code_red_love_is_dead;120;120;6\8;4\4;7.7509331703186035;
7-serenade_for_samantha;120;120;6\8;4\4;8.497466087341309;
1-sweet_dissonance;120;120;6\8;4\4;9.700236558914185;
6-life_glides;120;120;6\8;4\4;8.005311012268066;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;11.407506227493286;
5-bliss;68;68;6\8;4\4;9.002654314041138;
10-the_last_faery;90;90;6\8;4\4;8.465461254119873;
1-odysseia;93;93;6\8;4\4;12.331899881362915;
