Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;17.969146728515625;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;15.498204946517944;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;17.051064252853394;
10-sonata_iii_moderato;152;152;6\8;4\4;18.077224731445312;
19-sonata_v_allegro;140;140;4\4;4\4;18.705888986587524;
6-click_full_pussy;160;160;4\4;4\4;15.190120935440063;
120;120;120;4\4;4\4;18.10747241973877;
1-blue-tinted_sunglasses;123;123;4\4;4\4;17.400460481643677;
7-don't_look_back;89;89;6\8;4\4;21.519489765167236;
1-sunset_(endless_night_journey;140;140;6\8;4\4;17.551263332366943;
8-i'll_pretend;140;140;6\8;4\4;17.65278458595276;
7-northern_lights;140;140;6\8;4\4;21.76046919822693;
10-at_least_you've_been_told;130;130;6\8;4\4;20.355844020843506;
9-nibtal_7;140;140;6\8;4\4;19.50702667236328;
100;100;100;5\4;3\4;23.12942934036255;
1-don't_rain_on_my_parade;160;160;6\8;4\4;17.19453763961792;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;31.670849561691284;
5-apartment_a;115;115;4\4;4\4;19.15568494796753;
12-rotgut;147;147;6\8;4\4;19.039276599884033;
4-buffalo_nights;147;147;6\8;8\8;18.559637546539307;
6-didn't_i;85;85;6\8;4\4;24.314071655273438;
4-patterns;106;106;6\8;6\8;23.909790515899658;
1-prospects;116;116;6\8;4\4;33.33966660499573;
18-slide_boogie;120;120;6\8;4\4;22.335566759109497;
6-invisible_pants;118;118;6\8;4\4;22.090856552124023;
7-heavenly_rain;126;126;6\8;4\4;20.42091464996338;
1-by_mourning;202;202;6\8;4\4;15.922498941421509;
5-kc_rip_off;140;140;6\8;4\4;20.883817434310913;
5-code_red_love_is_dead;120;120;6\8;4\4;21.68108558654785;
7-serenade_for_samantha;120;120;6\8;4\4;21.488297939300537;
1-sweet_dissonance;120;120;6\8;4\4;22.589263439178467;
6-life_glides;120;120;6\8;4\4;26.697221279144287;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;28.737121105194092;
5-bliss;68;68;6\8;4\4;34.52891302108765;
10-the_last_faery;90;90;6\8;4\4;29.47650671005249;
1-odysseia;93;93;6\8;4\4;37.52249813079834;
