Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;27.00227952003479;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;22.222972869873047;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;21.484466552734375;
10-sonata_iii_moderato;152;152;6\8;4\4;22.09146213531494;
19-sonata_v_allegro;140;140;6\8;4\4;24.673109769821167;
6-click_full_pussy;160;160;4\4;4\4;21.389574766159058;
120;120;120;4\4;4\4;24.190118551254272;
1-blue-tinted_sunglasses;123;123;4\4;4\4;24.302490711212158;
7-don't_look_back;89;89;6\8;4\4;26.92737603187561;
1-sunset_(endless_night_journey;140;140;4\4;4\4;22.68788719177246;
8-i'll_pretend;140;140;6\8;4\4;22.85791563987732;
7-northern_lights;140;140;6\8;4\4;25.205312252044678;
10-at_least_you've_been_told;130;130;6\8;4\4;23.605373859405518;
9-nibtal_7;140;140;4\4;4\4;23.14261770248413;
100;100;100;4\4;3\4;26.679232835769653;
1-don't_rain_on_my_parade;160;160;6\8;4\4;21.402671098709106;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;28.290042877197266;
5-apartment_a;115;115;4\4;4\4;26.45586895942688;
12-rotgut;147;147;6\8;4\4;22.30180597305298;
4-buffalo_nights;147;147;6\8;8\8;22.055115222930908;
6-didn't_i;85;85;6\8;4\4;29.446236848831177;
4-patterns;106;106;6\8;6\8;27.02618956565857;
1-prospects;116;116;6\8;4\4;28.025415897369385;
18-slide_boogie;120;120;6\8;4\4;26.36905527114868;
6-invisible_pants;118;118;6\8;4\4;27.243518114089966;
7-heavenly_rain;126;126;6\8;4\4;24.55256152153015;
1-by_mourning;202;202;6\8;4\4;19.91312289237976;
5-kc_rip_off;140;140;6\8;4\4;23.434146642684937;
5-code_red_love_is_dead;120;120;6\8;4\4;24.69977569580078;
7-serenade_for_samantha;120;120;6\8;4\4;24.68820357322693;
1-sweet_dissonance;120;120;6\8;4\4;25.099173069000244;
6-life_glides;120;120;6\8;4\4;23.960126638412476;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;29.55232286453247;
5-bliss;68;68;6\8;4\4;29.052040576934814;
10-the_last_faery;90;90;6\8;4\4;28.97577929496765;
1-odysseia;93;93;6\8;4\4;29.85586190223694;
