Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;5\4;4\4;32.76740479469299;
18-handel_oxford_water_music_suit;167;167;5\4;3\4;26.00510048866272;
22-handel_oxford_water_music_suit;150;150;5\4;4\4;27.188157320022583;
10-sonata_iii_moderato;152;152;5\4;4\4;27.926233291625977;
19-sonata_v_allegro;140;140;5\4;4\4;31.158352375030518;
6-click_full_pussy;160;160;5\4;4\4;26.834095239639282;
120;120;120;5\4;4\4;35.455405473709106;
1-blue-tinted_sunglasses;123;123;5\4;4\4;36.40448212623596;
7-don't_look_back;89;89;5\4;4\4;42.78589749336243;
1-sunset_(endless_night_journey;140;140;5\4;4\4;33.082629442214966;
8-i'll_pretend;140;140;5\4;4\4;31.181212425231934;
7-northern_lights;140;140;5\4;4\4;33.437578439712524;
10-at_least_you've_been_told;130;130;5\4;4\4;31.43716311454773;
9-nibtal_7;140;140;5\4;4\4;29.878010511398315;
100;100;100;5\4;3\4;40.53979706764221;
1-don't_rain_on_my_parade;160;160;5\4;4\4;26.907417058944702;
4-goodbye_on_a_beautiful_day;60;60;5\4;4\4;60.767396688461304;
5-apartment_a;115;115;5\4;4\4;36.73998951911926;
12-rotgut;147;147;5\4;4\4;29.243563175201416;
4-buffalo_nights;147;147;5\4;8\8;29.950191497802734;
6-didn't_i;85;85;5\4;4\4;50.83087921142578;
4-patterns;106;106;5\4;6\8;44.32911276817322;
1-prospects;116;116;5\4;4\4;40.341354846954346;
18-slide_boogie;120;120;5\4;4\4;36.66628336906433;
6-invisible_pants;118;118;5\4;4\4;37.1163113117218;
7-heavenly_rain;126;126;5\4;4\4;32.38924860954285;
1-by_mourning;202;202;5\4;4\4;22.099674224853516;
5-kc_rip_off;140;140;5\4;4\4;34.06224513053894;
5-code_red_love_is_dead;120;120;5\4;4\4;33.496243953704834;
7-serenade_for_samantha;120;120;5\4;4\4;34.29779863357544;
1-sweet_dissonance;120;120;5\4;4\4;33.984631061553955;
6-life_glides;120;120;5\4;4\4;34.41130208969116;
1-for_a_good_day_o_host_to_you;77;77;5\4;4\4;52.85958003997803;
5-bliss;68;68;5\4;4\4;58.95939588546753;
10-the_last_faery;90;90;5\4;4\4;44.41780424118042;
1-odysseia;93;93;5\4;4\4;46.98043394088745;
