Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;5\4;4\4;48.10048270225525;
18-handel_oxford_water_music_suit;167;167;5\4;3\4;37.39718723297119;
22-handel_oxford_water_music_suit;150;150;5\4;4\4;41.85721445083618;
10-sonata_iii_moderato;152;152;5\4;4\4;48.364420890808105;
19-sonata_v_allegro;140;140;5\4;4\4;46.939908027648926;
6-click_full_pussy;160;160;5\4;4\4;39.90800428390503;
120;120;120;5\4;4\4;47.04362416267395;
1-blue-tinted_sunglasses;123;123;5\4;4\4;46.24183368682861;
7-don't_look_back;89;89;5\4;4\4;66.07530307769775;
1-sunset_(endless_night_journey;140;140;5\4;4\4;43.23251128196716;
8-i'll_pretend;140;140;5\4;4\4;42.55178451538086;
7-northern_lights;140;140;5\4;4\4;42.975916624069214;
10-at_least_you've_been_told;130;130;5\4;4\4;46.25033116340637;
9-nibtal_7;140;140;5\4;4\4;43.278281450271606;
100;100;100;5\4;3\4;57.51378297805786;
1-don't_rain_on_my_parade;160;160;5\4;4\4;39.15592622756958;
4-goodbye_on_a_beautiful_day;60;60;5\4;4\4;85.41108059883118;
5-apartment_a;115;115;5\4;4\4;50.74784779548645;
12-rotgut;147;147;5\4;4\4;40.516448736190796;
4-buffalo_nights;147;147;5\4;8\8;40.97540593147278;
6-didn't_i;85;85;5\4;4\4;65.545161485672;
4-patterns;106;106;5\4;6\8;54.39658164978027;
1-prospects;116;116;5\4;4\4;59.00872039794922;
18-slide_boogie;120;120;5\4;4\4;49.526328563690186;
6-invisible_pants;118;118;5\4;4\4;53.50847029685974;
7-heavenly_rain;126;126;5\4;4\4;46.34077262878418;
1-by_mourning;202;202;5\4;4\4;31.014198541641235;
5-kc_rip_off;140;140;5\4;4\4;49.64446496963501;
5-code_red_love_is_dead;120;120;5\4;4\4;52.43944478034973;
7-serenade_for_samantha;120;120;5\4;4\4;60.39534306526184;
1-sweet_dissonance;120;120;5\4;4\4;53.36209464073181;
6-life_glides;120;120;5\4;4\4;50.817304611206055;
1-for_a_good_day_o_host_to_you;77;77;5\4;4\4;74.84910011291504;
5-bliss;68;68;5\4;4\4;112.20438694953918;
10-the_last_faery;90;90;5\4;4\4;67.68377947807312;
1-odysseia;93;93;5\4;4\4;69.217365026474;
