Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;3\4;4\4;33.99154806137085;
18-handel_oxford_water_music_suit;167;167;3\4;3\4;25.562374353408813;
22-handel_oxford_water_music_suit;150;150;3\4;4\4;27.14947247505188;
10-sonata_iii_moderato;152;152;3\4;4\4;29.173317193984985;
19-sonata_v_allegro;140;140;4\4;4\4;30.34963631629944;
6-click_full_pussy;160;160;4\4;4\4;26.676737308502197;
120;120;120;3\4;4\4;33.48584318161011;
1-blue-tinted_sunglasses;123;123;4\4;4\4;32.981130838394165;
7-don't_look_back;89;89;3\4;4\4;42.79951286315918;
1-sunset_(endless_night_journey;140;140;4\4;4\4;28.535674810409546;
8-i'll_pretend;140;140;3\4;4\4;29.238271713256836;
7-northern_lights;140;140;4\4;4\4;31.139184951782227;
10-at_least_you've_been_told;130;130;3\4;4\4;30.06280016899109;
9-nibtal_7;140;140;4\4;4\4;27.91003155708313;
100;100;100;3\4;3\4;37.408596992492676;
1-don't_rain_on_my_parade;160;160;3\4;4\4;26.965572595596313;
4-goodbye_on_a_beautiful_day;60;60;3\4;4\4;58.819347858428955;
5-apartment_a;115;115;4\4;4\4;34.268393993377686;
12-rotgut;147;147;3\4;4\4;28.063956022262573;
4-buffalo_nights;147;147;3\4;8\8;27.500266790390015;
6-didn't_i;85;85;4\4;4\4;43.42315673828125;
4-patterns;106;106;3\4;6\8;35.71156883239746;
1-prospects;116;116;4\4;4\4;36.51761174201965;
18-slide_boogie;120;120;3\4;4\4;34.27265024185181;
6-invisible_pants;118;118;3\4;4\4;35.90388631820679;
7-heavenly_rain;126;126;3\4;4\4;31.2299325466156;
1-by_mourning;202;202;3\4;4\4;20.448296546936035;
5-kc_rip_off;140;140;3\4;4\4;28.817557334899902;
5-code_red_love_is_dead;120;120;3\4;4\4;32.08659744262695;
7-serenade_for_samantha;120;120;3\4;4\4;32.168391942977905;
1-sweet_dissonance;120;120;3\4;4\4;32.013503313064575;
6-life_glides;120;120;3\4;4\4;31.33740496635437;
1-for_a_good_day_o_host_to_you;77;77;3\4;4\4;48.915513038635254;
5-bliss;68;68;3\4;4\4;51.53064799308777;
10-the_last_faery;90;90;3\4;4\4;40.87424612045288;
1-odysseia;93;93;3\4;4\4;42.52049684524536;
