Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;4\4;4\4;5.235370874404907;
18-handel_oxford_water_music_suit;167;167;4\4;3\4;6.177514553070068;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;4.0411083698272705;
10-sonata_iii_moderato;152;152;4\4;4\4;4.305561780929565;
19-sonata_v_allegro;140;140;6\8;4\4;4.374514818191528;
6-click_full_pussy;160;160;4\4;4\4;4.095005750656128;
120;120;120;6\8;4\4;3.449643135070801;
1-blue-tinted_sunglasses;123;123;4\4;4\4;3.7954771518707275;
7-don't_look_back;89;89;6\8;4\4;3.568927526473999;
1-sunset_(endless_night_journey;140;140;6\8;4\4;3.8540337085723877;
8-i'll_pretend;140;140;6\8;4\4;3.8213329315185547;
7-northern_lights;140;140;6\8;4\4;4.645949363708496;
10-at_least_you've_been_told;130;130;4\4;4\4;3.7823429107666016;
9-nibtal_7;140;140;6\8;4\4;3.6999008655548096;
100;100;100;6\8;3\4;3.91327166557312;
1-don't_rain_on_my_parade;160;160;4\4;4\4;3.9881553649902344;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;4.25186824798584;
5-apartment_a;115;115;4\4;4\4;3.8722972869873047;
12-rotgut;147;147;6\8;4\4;4.102601766586304;
4-buffalo_nights;147;147;6\8;8\8;4.0188329219818115;
6-didn't_i;85;85;4\4;4\4;4.647356986999512;
4-patterns;106;106;4\4;6\8;4.361950159072876;
1-prospects;116;116;6\8;4\4;5.362842082977295;
18-slide_boogie;120;120;6\8;4\4;4.105036020278931;
6-invisible_pants;118;118;4\4;4\4;4.663565635681152;
7-heavenly_rain;126;126;6\8;4\4;4.25957179069519;
1-by_mourning;202;202;4\4;4\4;3.9023025035858154;
5-kc_rip_off;140;140;6\8;4\4;3.8944649696350098;
5-code_red_love_is_dead;120;120;6\8;4\4;3.7363994121551514;
7-serenade_for_samantha;120;120;6\8;4\4;3.721893548965454;
1-sweet_dissonance;120;120;6\8;4\4;4.003222227096558;
6-life_glides;120;120;6\8;4\4;3.845299482345581;
1-for_a_good_day_o_host_to_you;77;77;4\4;4\4;4.987145662307739;
5-bliss;68;68;4\4;4\4;5.31545090675354;
10-the_last_faery;90;90;6\8;4\4;4.027694225311279;
1-odysseia;93;93;4\4;4\4;4.635379791259766;
