Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;3\4;4\4;53.779799938201904;
18-handel_oxford_water_music_suit;167;167;3\4;3\4;41.273834466934204;
22-handel_oxford_water_music_suit;150;150;3\4;4\4;43.556641578674316;
10-sonata_iii_moderato;152;152;4\4;4\4;50.30242466926575;
19-sonata_v_allegro;140;140;4\4;4\4;47.0326566696167;
6-click_full_pussy;160;160;4\4;4\4;41.05184054374695;
120;120;120;3\4;4\4;46.87089157104492;
1-blue-tinted_sunglasses;123;123;4\4;4\4;47.797295331954956;
7-don't_look_back;89;89;3\4;4\4;72.53741312026978;
1-sunset_(endless_night_journey;140;140;4\4;4\4;45.55975699424744;
8-i'll_pretend;140;140;3\4;4\4;44.72988724708557;
7-northern_lights;140;140;4\4;4\4;43.88629984855652;
10-at_least_you've_been_told;130;130;3\4;4\4;47.018072843551636;
9-nibtal_7;140;140;4\4;4\4;42.66779446601868;
100;100;100;3\4;3\4;56.237382650375366;
1-don't_rain_on_my_parade;160;160;4\4;4\4;46.20008420944214;
4-goodbye_on_a_beautiful_day;60;60;3\4;4\4;87.79962968826294;
5-apartment_a;115;115;4\4;4\4;52.13162589073181;
12-rotgut;147;147;3\4;4\4;41.67703318595886;
4-buffalo_nights;147;147;3\4;8\8;42.18805480003357;
6-didn't_i;85;85;4\4;4\4;66.02078151702881;
4-patterns;106;106;3\4;6\8;56.347397804260254;
1-prospects;116;116;4\4;4\4;59.006356716156006;
18-slide_boogie;120;120;3\4;4\4;52.449663162231445;
6-invisible_pants;118;118;3\4;4\4;55.837056398391724;
7-heavenly_rain;126;126;3\4;4\4;46.60125422477722;
1-by_mourning;202;202;3\4;4\4;32.061442613601685;
5-kc_rip_off;140;140;3\4;4\4;44.94604992866516;
5-code_red_love_is_dead;120;120;3\4;4\4;50.16096830368042;
7-serenade_for_samantha;120;120;3\4;4\4;47.891404151916504;
1-sweet_dissonance;120;120;3\4;4\4;50.0499963760376;
6-life_glides;120;120;3\4;4\4;51.01158857345581;
1-for_a_good_day_o_host_to_you;77;77;3\4;4\4;89.96997261047363;
5-bliss;68;68;3\4;4\4;95.16491317749023;
10-the_last_faery;90;90;3\4;4\4;66.04352760314941;
1-odysseia;93;93;3\4;4\4;71.85687446594238;
