Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
28-la_victoire_suite_in_d_from_l;134;134;6\8;4\4;47.482094526290894;
18-handel_oxford_water_music_suit;167;167;6\8;3\4;38.17578840255737;
22-handel_oxford_water_music_suit;150;150;6\8;4\4;43.665326833724976;
10-sonata_iii_moderato;152;152;4\4;4\4;49.88669729232788;
19-sonata_v_allegro;140;140;6\8;4\4;46.212636947631836;
6-click_full_pussy;160;160;4\4;4\4;40.257721185684204;
120;120;120;4\4;4\4;44.06290531158447;
1-blue-tinted_sunglasses;123;123;4\4;4\4;43.43945074081421;
7-don't_look_back;89;89;6\8;4\4;51.03564500808716;
1-sunset_(endless_night_journey;140;140;4\4;4\4;38.360830545425415;
8-i'll_pretend;140;140;4\4;4\4;37.559977293014526;
7-northern_lights;140;140;6\8;4\4;36.87212252616882;
10-at_least_you've_been_told;130;130;6\8;4\4;43.680792808532715;
9-nibtal_7;140;140;4\4;4\4;42.39320635795593;
100;100;100;4\4;3\4;51.95476293563843;
1-don't_rain_on_my_parade;160;160;6\8;4\4;36.13796901702881;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;62.73020839691162;
5-apartment_a;115;115;4\4;4\4;46.22441029548645;
12-rotgut;147;147;6\8;4\4;38.76465082168579;
4-buffalo_nights;147;147;6\8;8\8;39.05318760871887;
6-didn't_i;85;85;6\8;4\4;54.68859267234802;
4-patterns;106;106;6\8;6\8;47.1281852722168;
1-prospects;116;116;6\8;4\4;53.324296712875366;
18-slide_boogie;120;120;6\8;4\4;43.77647948265076;
6-invisible_pants;118;118;6\8;4\4;46.86019587516785;
7-heavenly_rain;126;126;6\8;4\4;46.850605487823486;
1-by_mourning;202;202;6\8;4\4;33.435625314712524;
5-kc_rip_off;140;140;6\8;4\4;39.72083067893982;
5-code_red_love_is_dead;120;120;6\8;4\4;44.16362142562866;
7-serenade_for_samantha;120;120;6\8;4\4;42.28247809410095;
1-sweet_dissonance;120;120;6\8;4\4;46.24787902832031;
6-life_glides;120;120;6\8;4\4;42.785324573516846;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;54.87026882171631;
5-bliss;68;68;6\8;4\4;71.28113985061646;
10-the_last_faery;90;90;4\4;4\4;51.95110869407654;
1-odysseia;93;93;6\8;4\4;56.02305054664612;
