Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
6-click_full_pussy;80;160;6\8;4\4;14.046963453292847;
120;60;120;6\8;4\4;10.400051832199097;
1-blue-tinted_sunglasses;61;123;4\4;4\4;10.700369596481323;
100;100;100;5\4;3\4;11.17660641670227;
1-sunset_(endless_night_journey;70;140;5\4;4\4;11.607356548309326;
7-don't_look_back;178;89;6\8;4\4;11.382507085800171;
7-northern_lights;70;140;5\4;4\4;11.852217197418213;
8-i'll_pretend;70;140;6\8;4\4;11.623352289199829;
9-nibtal_7;70;140;6\8;4\4;11.716294765472412;
10-at_least_you've_been_told;65;130;6\8;4\4;11.752276420593262;
1-don't_rain_on_my_parade;81;160;6\8;4\4;11.309530258178711;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;10.883774995803833;
5-apartment_a;60;115;5\4;4\4;12.097077131271362;
12-rotgut;145;147;6\8;4\4;11.34750771522522;
4-buffalo_nights;148;147;6\8;8\8;11.958158016204834;
6-didn't_i;85;85;6\8;4\4;11.447433471679688;
4-patterns;94;106;6\8;6\8;11.775261402130127;
1-prospects;116;116;6\8;4\4;20.55024528503418;
18-slide_boogie;70;120;6\8;4\4;12.542824029922485;
6-invisible_pants;127;118;6\8;4\4;15.132340669631958;
7-heavenly_rain;85;126;6\8;4\4;11.472416162490845;
1-by_mourning;100;202;6\8;4\4;11.228577375411987;
5-kc_rip_off;70;140;6\8;4\4;11.568382501602173;
5-code_red_love_is_dead;60;120;4\4;4\4;10.9567289352417;
7-serenade_for_samantha;60;120;6\8;4\4;10.517982006072998;
1-sweet_dissonance;75;120;6\8;4\4;11.69631028175354;
6-life_glides;60;120;6\8;4\4;10.460014820098877;
1-for_a_good_day_o_host_to_you;183;77;6\8;4\4;12.190026998519897;
5-bliss;135;68;5\4;4\4;24.165682077407837;
10-the_last_faery;90;90;5\4;4\4;15.328227996826172;
1-odysseia;85;93;6\8;4\4;23.237066745758057;
28-la_victoire_suite_in_d_from_l;70;134;6\8;4\4;20.16237711906433;
18-handel_oxford_water_music_suit;85;167;6\8;3\4;15.139352321624756;
22-handel_oxford_water_music_suit;74;150;6\8;4\4;16.190921783447266;
10-sonata_iii_moderato;75;152;6\8;4\4;27.826308727264404;
19-sonata_v_allegro;72;140;5\4;4\4;16.136765480041504;
