Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: ConvolveTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;69;147;6\8;4\4;56.22013854980469;
4-buffalo_nights;61;147;6\8;8\8;50.28538775444031;
6-didn't_i;60;85;6\8;4\4;49.66174125671387;
4-patterns;95;106;6\8;6\8;53.0423424243927;
1-prospects;60;116;6\8;4\4;52.6566116809845;
18-slide_boogie;76;120;6\8;4\4;56.98452091217041;
6-invisible_pants;62;118;6\8;4\4;61.13754940032959;
7-heavenly_rain;60;126;6\8;4\4;48.976022243499756;
1-by_mourning;60;202;6\8;4\4;48.92550539970398;
5-kc_rip_off;70;140;6\8;4\4;57.765193939208984;
5-code_red_love_is_dead;60;120;6\8;4\4;49.27269458770752;
7-serenade_for_samantha;60;120;6\8;4\4;50.70565390586853;
1-sweet_dissonance;61;120;6\8;4\4;58.477022647857666;
6-life_glides;61;120;6\8;4\4;50.48368835449219;
1-for_a_good_day_o_host_to_you;82;77;6\8;4\4;55.7653911113739;
5-bliss;61;68;6\8;4\4;50.46708345413208;
10-the_last_faery;89;90;6\8;4\4;54.032063484191895;
1-odysseia;60;93;6\8;4\4;51.66330599784851;
28-la_victoire_suite_in_d_from_l;60;134;6\8;4\4;52.82798504829407;
18-handel_oxford_water_music_suit;60;167;6\8;3\4;51.922298192977905;
22-handel_oxford_water_music_suit;73;150;6\8;4\4;55.203125953674316;
10-sonata_iii_moderato;76;152;4\4;4\4;56.96029019355774;
19-sonata_v_allegro;68;140;4\4;4\4;59.38164687156677;
6-click_full_pussy;80;160;6\8;4\4;58.71845078468323;
120;60;120;6\8;4\4;49.191670656204224;
1-blue-tinted_sunglasses;61;123;4\4;4\4;51.08199715614319;
100;100;100;6\8;3\4;52.690396308898926;
1-sunset_(endless_night_journey;70;140;6\8;4\4;56.326977491378784;
7-don't_look_back;60;89;6\8;4\4;49.70378088951111;
7-northern_lights;72;140;6\8;4\4;58.40429210662842;
8-i'll_pretend;70;140;6\8;4\4;56.22903299331665;
9-nibtal_7;69;140;6\8;4\4;58.06893849372864;
10-at_least_you've_been_told;66;130;6\8;4\4;58.21062254905701;
1-don't_rain_on_my_parade;79;160;6\8;4\4;55.9649395942688;
4-goodbye_on_a_beautiful_day;65;60;6\8;4\4;58.118420124053955;
5-apartment_a;60;115;6\8;4\4;50.45287036895752;
