Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: ConvolveNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;75;147;3\4;4\4;9.684924364089966;
4-buffalo_nights;62;147;3\4;8\8;11.031907558441162;
6-didn't_i;85;85;3\4;4\4;9.067920923233032;
4-patterns;94;106;3\4;6\8;8.43293809890747;
1-prospects;111;116;3\4;4\4;9.24292540550232;
18-slide_boogie;60;120;3\4;4\4;11.17690396308899;
6-invisible_pants;110;118;3\4;4\4;8.360929012298584;
7-heavenly_rain;84;126;3\4;4\4;9.241919994354248;
1-by_mourning;160;202;3\4;4\4;6.5839526653289795;
5-kc_rip_off;209;140;3\4;4\4;5.923951864242554;
5-code_red_love_is_dead;61;120;3\4;4\4;11.341078758239746;
7-serenade_for_samantha;60;120;3\4;4\4;10.93740439414978;
1-sweet_dissonance;111;120;3\4;4\4;7.814318418502808;
6-life_glides;61;120;3\4;4\4;11.271642446517944;
1-for_a_good_day_o_host_to_you;76;77;3\4;4\4;10.84329891204834;
5-bliss;62;68;3\4;4\4;12.952551126480103;
10-the_last_faery;90;90;3\4;4\4;8.691428184509277;
1-odysseia;83;93;3\4;4\4;9.945723295211792;
28-la_victoire_suite_in_d_from_l;88;134;3\4;4\4;10.518431663513184;
18-handel_oxford_water_music_suit;175;167;3\4;3\4;9.470920085906982;
22-handel_oxford_water_music_suit;76;150;3\4;4\4;10.302917957305908;
10-sonata_iii_moderato;73;152;3\4;4\4;10.580905199050903;
19-sonata_v_allegro;78;140;3\4;4\4;10.830936193466187;
6-click_full_pussy;80;160;3\4;4\4;9.771860361099243;
120;60;120;3\4;4\4;10.966901779174805;
1-blue-tinted_sunglasses;61;123;3\4;4\4;11.71391224861145;
100;100;100;3\4;3\4;8.314904689788818;
1-sunset_(endless_night_journey;70;140;3\4;4\4;10.086917877197266;
7-don't_look_back;60;89;3\4;4\4;10.947902917861938;
7-northern_lights;70;140;3\4;4\4;10.813918590545654;
8-i'll_pretend;139;140;3\4;4\4;7.025939226150513;
9-nibtal_7;139;140;3\4;4\4;7.070948362350464;
10-at_least_you've_been_told;109;130;3\4;4\4;8.141927242279053;
1-don't_rain_on_my_parade;80;160;3\4;4\4;9.386922597885132;
4-goodbye_on_a_beautiful_day;115;60;3\4;4\4;8.04092812538147;
5-apartment_a;60;115;3\4;4\4;11.396912097930908;
