Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;75;147;6\8;4\4;3.029170513153076;
4-buffalo_nights;62;147;5\4;8\8;3.2002956867218018;
6-didn't_i;85;85;5\4;4\4;3.1175763607025146;
4-patterns;94;106;6\8;6\8;3.0084476470947266;
1-prospects;111;116;5\4;4\4;4.4738428592681885;
18-slide_boogie;60;120;5\4;4\4;3.4824771881103516;
6-invisible_pants;110;118;6\8;4\4;3.669360399246216;
7-heavenly_rain;84;126;6\8;4\4;3.558577537536621;
1-by_mourning;160;202;6\8;4\4;3.0966556072235107;
5-kc_rip_off;209;140;6\8;4\4;3.0596706867218018;
5-code_red_love_is_dead;61;120;5\4;4\4;3.9449751377105713;
7-serenade_for_samantha;60;120;6\8;4\4;3.6549336910247803;
1-sweet_dissonance;111;120;6\8;4\4;3.408130168914795;
6-life_glides;61;120;6\8;4\4;4.162884950637817;
1-for_a_good_day_o_host_to_you;76;77;5\4;4\4;4.8460609912872314;
5-bliss;62;68;5\4;4\4;5.978761196136475;
10-the_last_faery;90;90;6\8;4\4;3.825488328933716;
1-odysseia;83;93;6\8;4\4;4.439965724945068;
28-la_victoire_suite_in_d_from_l;88;134;5\4;4\4;5.386903285980225;
18-handel_oxford_water_music_suit;175;167;6\8;3\4;6.4971864223480225;
22-handel_oxford_water_music_suit;76;150;6\8;4\4;4.6685950756073;
10-sonata_iii_moderato;73;152;5\4;4\4;4.828576326370239;
19-sonata_v_allegro;78;140;6\8;4\4;5.047864675521851;
6-click_full_pussy;80;160;6\8;4\4;4.824851989746094;
120;60;120;6\8;4\4;4.763956546783447;
1-blue-tinted_sunglasses;61;123;5\4;4\4;5.257587909698486;
100;100;100;5\4;3\4;4.355742692947388;
1-sunset_(endless_night_journey;70;140;5\4;4\4;4.846885681152344;
7-don't_look_back;60;89;6\8;4\4;5.130962610244751;
7-northern_lights;70;140;5\4;4\4;5.731117248535156;
8-i'll_pretend;139;140;5\4;4\4;3.845461368560791;
9-nibtal_7;139;140;6\8;4\4;3.887960910797119;
10-at_least_you've_been_told;109;130;6\8;4\4;4.464137077331543;
1-don't_rain_on_my_parade;80;160;6\8;4\4;5.038954496383667;
4-goodbye_on_a_beautiful_day;115;60;5\4;4\4;4.545046329498291;
5-apartment_a;60;115;5\4;4\4;6.154193639755249;
