Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;144;147;6\8;4\4;5.714947462081909;
4-buffalo_nights;61;147;6\8;8\8;9.723937034606934;
6-didn't_i;85;85;4\4;4\4;8.512316942214966;
4-patterns;93;106;6\8;6\8;5.939923524856567;
1-prospects;113;116;4\4;4\4;11.295736312866211;
18-slide_boogie;90;120;6\8;4\4;7.125090599060059;
6-invisible_pants;127;118;6\8;4\4;10.360883235931396;
7-heavenly_rain;87;126;6\8;4\4;5.9944908618927;
1-by_mourning;145;202;6\8;4\4;6.4299280643463135;
5-kc_rip_off;140;140;6\8;4\4;6.273277521133423;
5-code_red_love_is_dead;60;120;6\8;4\4;6.155407667160034;
7-serenade_for_samantha;60;120;6\8;4\4;6.658928155899048;
1-sweet_dissonance;88;120;6\8;4\4;7.997680425643921;
6-life_glides;60;120;6\8;4\4;5.968729257583618;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;8.905683994293213;
5-bliss;135;68;6\8;4\4;5.9299116134643555;
10-the_last_faery;90;90;6\8;4\4;5.879936218261719;
1-odysseia;219;93;6\8;4\4;9.102692365646362;
28-la_victoire_suite_in_d_from_l;67;134;6\8;4\4;10.70829176902771;
18-handel_oxford_water_music_suit;95;167;6\8;3\4;7.013906240463257;
22-handel_oxford_water_music_suit;171;150;6\8;4\4;6.443592071533203;
10-sonata_iii_moderato;76;152;4\4;4\4;9.699085712432861;
19-sonata_v_allegro;72;140;6\8;4\4;8.928086757659912;
6-click_full_pussy;80;160;6\8;4\4;6.982615232467651;
120;60;120;6\8;4\4;5.8499767780303955;
1-blue-tinted_sunglasses;61;123;4\4;4\4;10.351977825164795;
100;100;100;6\8;3\4;5.775044679641724;
1-sunset_(endless_night_journey;70;140;6\8;4\4;6.100889682769775;
7-don't_look_back;60;89;6\8;4\4;5.980506896972656;
7-northern_lights;70;140;6\8;4\4;9.07742977142334;
8-i'll_pretend;140;140;6\8;4\4;5.762796640396118;
9-nibtal_7;70;140;6\8;4\4;5.94148588180542;
10-at_least_you've_been_told;65;130;6\8;4\4;6.2901880741119385;
1-don't_rain_on_my_parade;83;160;6\8;4\4;8.128800630569458;
4-goodbye_on_a_beautiful_day;195;60;6\8;4\4;5.921170949935913;
5-apartment_a;60;115;6\8;4\4;7.40548300743103;
