Settings:
Combfilter pulses: 12
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
6-click_full_pussy;80;160;6\8;4\4;58.4715461730957;
120;60;120;6\8;4\4;61.279940605163574;
1-blue-tinted_sunglasses;61;123;4\4;4\4;58.1458797454834;
100;100;100;4\4;3\4;47.155022382736206;
1-sunset_(endless_night_journey;70;140;4\4;4\4;58.63945126533508;
7-don't_look_back;178;89;4\4;4\4;32.58935570716858;
7-northern_lights;70;140;4\4;4\4;58.11075472831726;
8-i'll_pretend;70;140;6\8;4\4;53.70627307891846;
9-nibtal_7;70;140;6\8;4\4;55.60618758201599;
10-at_least_you've_been_told;65;130;6\8;4\4;60.633309841156006;
1-don't_rain_on_my_parade;81;160;6\8;4\4;53.99210977554321;
4-goodbye_on_a_beautiful_day;60;60;6\8;4\4;67.51337575912476;
5-apartment_a;60;115;4\4;4\4;69.95797562599182;
12-rotgut;145;147;6\8;4\4;40.32492804527283;
4-buffalo_nights;148;147;6\8;8\8;44.38260459899902;
6-didn't_i;85;85;6\8;4\4;58.504530906677246;
4-patterns;94;106;6\8;6\8;53.25653290748596;
1-prospects;116;116;6\8;4\4;56.80849885940552;
18-slide_boogie;70;120;6\8;4\4;61.165005922317505;
6-invisible_pants;127;118;4\4;4\4;53.0086715221405;
7-heavenly_rain;85;126;6\8;4\4;59.7598078250885;
1-by_mourning;100;202;6\8;4\4;54.20198893547058;
5-kc_rip_off;70;140;6\8;4\4;62.4692599773407;
5-code_red_love_is_dead;60;120;6\8;4\4;64.48210787773132;
7-serenade_for_samantha;60;120;6\8;4\4;64.09432983398438;
1-sweet_dissonance;75;120;6\8;4\4;60.12860059738159;
6-life_glides;60;120;6\8;4\4;64.03836035728455;
1-for_a_good_day_o_host_to_you;183;77;6\8;4\4;39.54637551307678;
5-bliss;135;68;6\8;4\4;62.11846089363098;
10-the_last_faery;90;90;4\4;4\4;55.17743277549744;
1-odysseia;85;93;6\8;4\4;62.28136706352234;
28-la_victoire_suite_in_d_from_l;70;134;6\8;4\4;58.887325286865234;
18-handel_oxford_water_music_suit;85;167;6\8;3\4;52.2121262550354;
22-handel_oxford_water_music_suit;74;150;6\8;4\4;58.683425188064575;
10-sonata_iii_moderato;75;152;4\4;4\4;67.99309968948364;
19-sonata_v_allegro;72;140;6\8;4\4;64.46811652183533;
