Settings:
Combfilter pulses: 8
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;144;147;6\8;4\4;8.279298543930054;
4-buffalo_nights;61;147;6\8;8\8;12.497747421264648;
6-didn't_i;85;85;6\8;4\4;11.477083206176758;
4-patterns;93;106;6\8;6\8;9.922890186309814;
1-prospects;113;116;6\8;4\4;13.450209617614746;
18-slide_boogie;90;120;6\8;4\4;11.731121063232422;
6-invisible_pants;127;118;6\8;4\4;12.304445266723633;
7-heavenly_rain;87;126;6\8;4\4;10.745323657989502;
1-by_mourning;145;202;6\8;4\4;8.874781131744385;
5-kc_rip_off;140;140;6\8;4\4;9.490061521530151;
5-code_red_love_is_dead;60;120;6\8;4\4;13.660996913909912;
7-serenade_for_samantha;60;120;6\8;4\4;13.525940656661987;
1-sweet_dissonance;88;120;6\8;4\4;11.705411434173584;
6-life_glides;60;120;6\8;4\4;14.355598211288452;
1-for_a_good_day_o_host_to_you;77;77;6\8;4\4;13.683282613754272;
5-bliss;135;68;6\8;4\4;9.621953010559082;
10-the_last_faery;90;90;6\8;4\4;11.703357458114624;
1-odysseia;219;93;6\8;4\4;11.010777473449707;
28-la_victoire_suite_in_d_from_l;67;134;6\8;4\4;17.963621139526367;
18-handel_oxford_water_music_suit;95;167;6\8;3\4;12.469472408294678;
22-handel_oxford_water_music_suit;171;150;6\8;4\4;9.162421941757202;
10-sonata_iii_moderato;76;152;6\8;4\4;15.428992509841919;
19-sonata_v_allegro;72;140;4\4;4\4;16.841660499572754;
6-click_full_pussy;80;160;6\8;4\4;14.154807329177856;
120;60;120;6\8;4\4;15.781890153884888;
1-blue-tinted_sunglasses;61;123;4\4;4\4;17.08830189704895;
100;100;100;5\4;3\4;12.00522255897522;
1-sunset_(endless_night_journey;70;140;6\8;4\4;15.198678016662598;
7-don't_look_back;60;89;6\8;4\4;16.532867193222046;
7-northern_lights;70;140;6\8;4\4;18.396689414978027;
8-i'll_pretend;140;140;6\8;4\4;10.494788646697998;
9-nibtal_7;70;140;6\8;4\4;15.677276849746704;
10-at_least_you've_been_told;65;130;6\8;4\4;16.287911653518677;
1-don't_rain_on_my_parade;83;160;6\8;4\4;14.772345066070557;
4-goodbye_on_a_beautiful_day;195;60;6\8;4\4;9.348174810409546;
5-apartment_a;60;115;6\8;4\4;19.146239280700684;
