Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CorrelateNormalizedMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;75;147;6\8;4\4;3.812685966491699;
4-buffalo_nights;62;147;3\4;8\8;4.234925746917725;
6-didn't_i;85;85;6\8;4\4;4.011117458343506;
4-patterns;94;106;6\8;6\8;3.9646170139312744;
1-prospects;111;116;6\8;4\4;5.85847544670105;
18-slide_boogie;60;120;3\4;4\4;4.342410326004028;
6-invisible_pants;110;118;6\8;4\4;4.8797523975372314;
7-heavenly_rain;84;126;6\8;4\4;3.9984207153320312;
1-by_mourning;160;202;6\8;4\4;4.706686973571777;
5-kc_rip_off;209;140;6\8;4\4;4.680675029754639;
5-code_red_love_is_dead;61;120;3\4;4\4;4.577263593673706;
7-serenade_for_samantha;60;120;3\4;4\4;4.04608941078186;
1-sweet_dissonance;111;120;6\8;4\4;4.429349184036255;
6-life_glides;61;120;3\4;4\4;4.552242040634155;
1-for_a_good_day_o_host_to_you;76;77;6\8;4\4;5.105597972869873;
5-bliss;62;68;3\4;4\4;6.677475929260254;
10-the_last_faery;90;90;6\8;4\4;3.9056482315063477;
1-odysseia;83;93;6\8;4\4;4.704680681228638;
28-la_victoire_suite_in_d_from_l;88;134;6\8;4\4;5.5834033489227295;
18-handel_oxford_water_music_suit;175;167;6\8;3\4;7.875725746154785;
22-handel_oxford_water_music_suit;76;150;6\8;4\4;4.4529502391815186;
10-sonata_iii_moderato;73;152;6\8;4\4;4.615954399108887;
19-sonata_v_allegro;78;140;6\8;4\4;5.13396430015564;
6-click_full_pussy;80;160;6\8;4\4;4.37596321105957;
120;60;120;3\4;4\4;4.055132150650024;
1-blue-tinted_sunglasses;61;123;3\4;4\4;4.802968978881836;
100;100;100;6\8;3\4;4.322961330413818;
1-sunset_(endless_night_journey;70;140;6\8;4\4;3.906970262527466;
7-don't_look_back;60;89;3\4;4\4;4.051963806152344;
7-northern_lights;70;140;6\8;4\4;4.6359570026397705;
8-i'll_pretend;139;140;6\8;4\4;4.679123640060425;
9-nibtal_7;139;140;6\8;4\4;4.67196249961853;
10-at_least_you've_been_told;109;130;6\8;4\4;4.604965925216675;
1-don't_rain_on_my_parade;80;160;6\8;4\4;3.938293218612671;
4-goodbye_on_a_beautiful_day;115;60;6\8;4\4;4.81246542930603;
5-apartment_a;60;115;3\4;4\4;4.435955286026001;
