Settings:
Combfilter pulses: 4
Resample ratio: 5
Tempo detection method: CombFilterTempoDetector
Metre detection method: CombFilterMetreDetector
Song;Detected BPM;Real BPM;Detected metre;Real metre;Time
12-rotgut;75;147;6\8;4\4;2.9744644165039062;
4-buffalo_nights;62;147;4\4;8\8;4.307289123535156;
6-didn't_i;85;85;4\4;4\4;3.4728901386260986;
4-patterns;94;106;4\4;6\8;3.336132287979126;
1-prospects;111;116;4\4;4\4;4.378551721572876;
18-slide_boogie;60;120;6\8;4\4;3.04797101020813;
6-invisible_pants;110;118;4\4;4\4;3.8880417346954346;
7-heavenly_rain;84;126;6\8;4\4;3.0719521045684814;
1-by_mourning;160;202;4\4;4\4;2.856299638748169;
5-kc_rip_off;209;140;6\8;4\4;2.837301015853882;
5-code_red_love_is_dead;61;120;4\4;4\4;4.431464195251465;
7-serenade_for_samantha;60;120;6\8;4\4;2.7561681270599365;
1-sweet_dissonance;111;120;4\4;4\4;2.9445979595184326;
6-life_glides;61;120;4\4;4\4;4.642833232879639;
1-for_a_good_day_o_host_to_you;76;77;6\8;4\4;3.895280361175537;
5-bliss;62;68;4\4;4\4;6.083962440490723;
10-the_last_faery;90;90;6\8;4\4;2.9096131324768066;
1-odysseia;83;93;4\4;4\4;3.970263957977295;
28-la_victoire_suite_in_d_from_l;88;134;4\4;4\4;4.4116644859313965;
18-handel_oxford_water_music_suit;175;167;6\8;3\4;5.933948516845703;
22-handel_oxford_water_music_suit;76;150;6\8;4\4;3.30997896194458;
10-sonata_iii_moderato;73;152;4\4;4\4;3.864732265472412;
19-sonata_v_allegro;78;140;4\4;4\4;3.991197109222412;
6-click_full_pussy;80;160;6\8;4\4;3.409975528717041;
120;60;120;6\8;4\4;2.709980010986328;
1-blue-tinted_sunglasses;61;123;4\4;4\4;4.574315071105957;
100;100;100;6\8;3\4;3.0329935550689697;
1-sunset_(endless_night_journey;70;140;6\8;4\4;2.914257764816284;
7-don't_look_back;60;89;6\8;4\4;2.761836051940918;
7-northern_lights;70;140;6\8;4\4;3.6496565341949463;
8-i'll_pretend;139;140;6\8;4\4;2.7885994911193848;
9-nibtal_7;139;140;6\8;4\4;2.784940481185913;
10-at_least_you've_been_told;109;130;6\8;4\4;3.000978708267212;
1-don't_rain_on_my_parade;80;160;6\8;4\4;3.0429861545562744;
4-goodbye_on_a_beautiful_day;115;60;4\4;4\4;3.3273849487304688;
5-apartment_a;60;115;6\8;4\4;3.122551918029785;
